Word,Definition,Vietnamese Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations
theme,"The subject of a talk, piece of writing, exhibition, etc.; a topic",chủ đề,The theme of the conference is sustainability.,"noun, verb",themes,"topic, subject",none,"central theme, main theme"
themselves,Used to emphasize that the subject and object of a verb are the same people,chính họ,They made the decision themselves.,pronoun,none,none,none,"by themselves, for themselves"
then,At that time; at the time in question,sau đó,I was younger then.,adverb,none,"at that time, in those days",now,"back then, even then"
theory,A supposition or a system of ideas intended to explain something,lý thuyết,His theory about the universe is fascinating.,"noun, verb",theories,"hypothesis, concept","fact, reality","scientific theory, theory of relativity"
there,"In, at, or to that place or position",ở đó,She is over there.,"adverb, pronoun",none,"here, in that place","here, in this place","over there, there is"
therefore,For that reason; consequently,Vì vậy,"He was late; therefore, he missed the bus.","adverb, conjunction",none,"thus, hence","because, since","therefore, they concluded, and therefore"
these,Used to identify a specific person or thing observed or heard by the speaker,những cái này,These are my friends.,"pronoun, adjective",none,"those, these ones",none,"these days, these ones"
they,Used to refer to two or more people or things previously mentioned or easily identified,họ,They are coming to the party.,pronoun,none,those people,none,"they are, they have"
thick,With opposite sides or surfaces that are a great or relatively great distance apart,dày,The book has thick pages.,"adjective, noun","thicker, thickest","dense, bulky","thin, narrow","thick book, thick hair"
thickness,"The distance through an object, as distinct from width or height",độ dày,The wall's thickness is 20 cm.,"noun, verb",thicknesses,"depth, width",thinness,"overall thickness, wall thickness"
thief,A person who steals another person's property,tên trộm,The thief was caught by the police.,"noun, verb",thieves,"robber, burglar",none,"catch the thief, petty thief"
thin,With opposite sides or surfaces that are close together,gầy,He has a thin build.,"adjective, verb","thinner, thinnest","slim, lean","fat, thick","thin air, thin layer"
thing,"An object that one need not, cannot, or does not wish to give a specific name to",điều,What is that thing on the table?,"noun, verb",things,"object, item",none,"something, anything"
think,"Have a particular opinion, belief, or idea about someone or something",nghĩ,I think you are right.,"verb, noun","thinks, thinking, thought","believe, consider","doubt, disbelieve","think about, think of"
thinking,The process of considering or reasoning about something,suy nghĩ,Her thinking is very logical.,"noun, adjective",thinkings,"reasoning, thought process",none,"positive thinking, critical thinking"
third,Constituting number three in a sequence; 3rd,thứ ba,He finished in third place.,"adjective, noun",thirds,"3rd, tertiary","first, second","third place, third time"
thirsty,Feeling a need to drink something,khát,He was very thirsty after the run.,"adjective, noun","thirstier, thirstiest","parched, dry","hydrated, quenched","thirsty work, feel thirsty"
thirteen,"The number equivalent to the sum of ten and three; one more than twelve, or seven less than twenty",mười ba,There are thirteen apples in the basket.,"noun, adjective",none,number 13,none,"thirteen years old, thirteen items"
thirtieth,Constituting number thirty in a sequence; 30th,thứ ba mươi,She is celebrating her thirtieth birthday.,"adjective, noun",none,number 30,none,"thirtieth birthday, thirtieth anniversary"
thirty,The number equivalent to the product of three and ten; ten less than forty,ba mươi,There are thirty students in the class.,"noun, adjective",none,number 30,none,"thirty years old, thirty pieces"
this,Used to identify a specific person or thing close at hand or being indicated or experienced,cái này,This is my favorite book.,"pronoun, determiner",these,"this one, this here",that,"this one, this time"
thorough,Complete with regard to every detail; not superficial or partial,kỹ lưỡng,The report was thorough.,"adjective, noun",thoroughness,"comprehensive, detailed","partial, superficial","thorough investigation, thorough understanding"
thoroughly,In a thorough manner; comprehensively,triệt để,She thoroughly enjoyed the movie.,adverb,none,"completely, utterly","partially, incompletely","thoroughly examine, thoroughly clean"
though,Despite the fact that; although,mặc dù,"Though it was raining, we went out.",conjunction,none,"although, even though",none,"even though, as though"
thought,An idea or opinion produced by thinking or occurring suddenly in the mind,nghĩ,She had a sudden thought.,"noun, verb",thoughts,"idea, notion",none,"deep thought, random thought"
thousand,The number equivalent to the product of a hundred and ten; 10 Ã— 100,nghìn,There were a thousand people at the concert.,"noun, adjective",thousands,number 1000,none,"thousand dollars, thousand times"
thread,"A long, thin strand of cotton, nylon, or other fibers used in sewing or weaving",chủ đề,She used a needle and thread to sew the button.,"noun, verb",threads,"fiber, strand",none,"needle and thread, lose the thread"
threat,"A statement of an intention to inflict pain, injury, damage, or other hostile action on someone in retribution for something done or not done",mối đe dọa,The threat was taken seriously by the police.,"noun, verb",threats,"menace, warning","promise, assurance","serious threat, threat to"
threaten,State one's intention to take hostile action against someone in retribution for something done or not done,hăm dọa,He threatened to call the police.,"verb, noun","threatens, threatening, threatened","intimidate, bully","comfort, reassure","threaten with, threaten to"
threatening,Having a hostile or deliberately frightening quality or manner,đe dọa,She received a threatening letter.,"adjective, noun",none,"menacing, intimidating","comforting, reassuring","threatening behavior, threatening letter"
three,"The number equivalent to the sum of one and two; one more than two, or seven less than ten; 3",ba,There are three books on the table.,"noun, adjective",threes,number 3,none,"three times, three years"
throat,The passage which leads from the back of the mouth of a person or animal,cổ họng,He has a sore throat.,"noun, verb",throats,"gullet, windpipe",none,"sore throat, clear your throat"
through,"Moving in one side and out of the other side of (an opening, channel, or location)",bởi vì,The train went through the tunnel.,"preposition, adverb",none,"across, past","around, past","go through, look through"
throughout,In every part of (a place or object),khắp,He traveled throughout Europe.,"preposition, adverb",none,"everywhere, all over",nowhere,"throughout the year, throughout the world"
throw,Propel (something) with force through the air by a movement of the arm and hand,ném,She threw the ball to him.,"verb, noun","throws, throwing, threw","toss, hurl","catch, keep","throw a ball, throw away"
throw away,Discard something as useless or unwanted,vứt đi,Don't throw away your old clothes.,phrasal verb,"throws away, throwing away, threw away","discard, dispose of","keep, retain","throw away the trash, throw away the paper"
thumb,"The short, thick first digit of the human hand, set lower and apart from the other four and opposable to them",ngón tay cái,She gave a thumbs-up to show her approval.,"noun, verb",thumbs,"digit, appendage",none,"thumbs up, green thumb"
Thursday,The day of the week before Friday and following Wednesday,Thứ năm,We have a meeting on Thursday.,noun,Thursdays,none,none,"Thursday morning, on Thursday"
thus,As a result or consequence of this; therefore,do đó,"He didn't study, thus he failed the exam.",adverb,none,"therefore, hence","because, since","thus far, thusly"
ticket,"A slip or piece of paper, cardboard, or plastic, serving as evidence that the holder has paid a fare or admission or is entitled to some service, right, or the like",vé,She bought a ticket for the concert.,"noun, verb",tickets,"pass, stub",none,"train ticket, parking ticket"
tidy,Arranged neatly and in order,ngăn nắp,Her room is always tidy.,"adjective, verb","tidies, tidying, tidied","neat, orderly","untidy, messy","keep tidy, tidy up"
tie,Attach or fasten with string or similar cord,cà vạt,He tied the package with string.,"verb, noun","ties, tying, tied","bind, fasten","untie, unfasten","tie a knot, tie together"
tie up,To bind or fasten someone or something securely,buộc lại,They tied up the boat at the dock.,phrasal verb,"ties up, tying up, tied up","bind, secure","untie, release","tie up loose ends, tie up the boat"
tight,"Fixed, fastened, or closed firmly; hard to move, undo, or open",chặt,The lid was on tight.,"adjective, verb",tightness,"secure, fast","loose, slack","tight grip, tight fit"
tightly,In a firm or secure manner,chặt chẽ,She held the rope tightly.,adverb,none,"securely, firmly","loosely, slackly","hold tightly, fasten tightly"
till,Up to (the point in time or the event mentioned); until,cho đến khi,We waited till the end of the movie.,"preposition, conjunction",none,until,since,"till now, till then"
time,"The indefinite continued progress of existence and events in the past, present, and future regarded as a whole",thời gian,Time flies when you're having fun.,"noun, verb","times, timing, timed","duration, period",none,"save time, waste time"
timetable,A schedule showing the times at which particular events will take place,thời gian biểu,Check the timetable for train departures.,"noun, verb",timetables,"schedule, agenda",none,"daily timetable, school timetable"
tin,"A silvery-white metal, the chemical element of atomic number 50",thiếc,The can is made of tin.,"noun, verb",tins,"metal, container",none,"tin can, tin foil"
tiny,Very small,nhỏ xíu,She held a tiny kitten in her hand.,"adjective, noun","tinier, tiniest","small, little","large, big","tiny house, tiny insect"
tip,The pointed or rounded end or extremity of something slender or tapering,mẹo,He put the tip of the pen on the paper.,"noun, verb","tips, tipping, tipped","point, end","base, bottom","tip of the iceberg, tip of the tongue"
tip over,Cause to overturn from an upright or normal position,lật đổ,The vase tipped over and broke.,phrasal verb,"tips over, tipping over, tipped over","overturn, topple","upright, steady","tip over the edge, tip over the boat"
tire,Feel or cause to feel in need of rest or sleep,lốp xe,He tires easily after running.,"verb, noun","tires, tiring, tired","weary, exhaust","energize, refresh","get tired, feel tired"
tired,In need of sleep or rest; weary,mệt,She felt tired after a long day.,"adjective, verb",none,"weary, exhausted","energetic, rested","tired eyes, tired body"
tiring,Demanding or exhausting to do,mệt mỏi,Moving can be a tiring process.,"adjective, noun",none,"exhausting, draining","refreshing, easy","tiring work, tiring day"
title,"The name of a book, composition, or other artistic work",tiêu đề,The book's title is 'War and Peace'.,"noun, verb",titles,"heading, caption",none,"book title, job title"
to,Expressing motion in the direction of (a particular location),ĐẾN,He went to the store.,"preposition, infinitive marker",none,"toward, until","from, away","go to, come to"
today,On or in the course of this present day,Hôm nay,What are you doing today?,"adverb, noun",todays,"now, this day",yesterday,"today's news, today morning"
toe,Any of the five digits at the end of the human foot,ngón chân,He stubbed his toe on the door.,"noun, verb",toes,digit,none,"stub your toe, big toe"
together,With or in proximity to another person or people,cùng nhau,They worked together on the project.,"adverb, preposition",none,"jointly, in concert","separately, apart","work together, live together"
toilet,"A fixed receptacle into which a person may urinate or defecate, typically consisting of a large bowl with a seat, connected to a system for flushing away the waste into a sewer",nhà vệ sinh,The restroom is equipped with a modern toilet.,"noun, verb",toilets,"lavatory, restroom",none,"toilet paper, public toilet"
tomato,"A glossy red, or occasionally yellow, pulpy edible fruit that is typically eaten as a vegetable or in salad",cà chua,She added tomato to the salad.,"noun, verb",tomatoes,"fruit, veggie",none,"ripe tomato, tomato sauce"
tomorrow,On the day after today,Ngày mai,We will meet tomorrow.,"noun, adverb",none,"next day, following day",yesterday,"see you tomorrow, tomorrow morning"
ton,"A unit of weight equal to 2,000 pounds (907.18 kg)",tấn,The shipment weighs a ton.,"noun, verb",tons,"weight, mass",none,"weigh a ton, metric ton"
tone,"The general character or attitude of a place, piece of writing, situation, etc.",giai điệu,The tone of the conversation was serious.,"noun, verb",tones,"manner, mood",none,"tone of voice, tone down"
tongue,"The fleshy muscular organ in the mouth used for tasting, licking, swallowing, and (in humans) articulating speech",lưỡi,She bit her tongue while eating.,"noun, verb",tongues,"speech organ, language",none,"mother tongue, tongue twister"
tonight,On the present or approaching evening or night,tối nay,We will have dinner tonight.,"noun, adverb",tonight's,"this evening, this night","this morning, this afternoon","tonight's show, tonight only"
tonne,"A metric unit of mass equal to 1,000 kilograms (approximately 2,204.62 pounds)",tấn,The shipment weighs one tonne.,"noun, verb",tonnes,metric ton,none,"metric tonne, per tonne"
too,"To a higher degree than is desirable, permissible, or possible; excessively",cũng vậy,It is too hot to go outside.,adverb,none,"excessively, overly","little, less","too much, too many"
tool,"A device or implement, especially one held in the hand, used to carry out a particular function",dụng cụ,He used a tool to fix the bike.,"noun, verb",tools,"instrument, implement",none,"hand tool, power tool"
tooth,"Each of a set of hard, bony enamel-coated structures in the jaws of most vertebrates, used for biting and chewing",răng,She brushed her tooth carefully.,"noun, verb",teeth,none,none,"brush your teeth, toothache"
top,"The highest or uppermost point, part, or surface of something",đứng đầu,The cat climbed to the top of the tree.,"noun, verb",tops,"peak, summit","bottom, base","top of the hill, top priority"
topic,"A matter dealt with in a text, discourse, or conversation; a subject",đề tài,The topic of discussion was climate change.,"noun, verb",topics,"subject, theme",none,"main topic, topic sentence"
total,Comprising the whole number or amount,tổng cộng,The total cost is $50.,"adjective, noun",totals,"whole, aggregate","partial, partial amount","total amount, total cost"
totally,Completely; absolutely,hoàn toàn,She was totally surprised by the news.,adverb,none,"completely, absolutely",partially,"totally agree, totally understand"
touch,Come into or be in contact with,chạm,He reached out to touch the flower.,"verb, noun","touches, touching, touched","feel, contact",none,"touch screen, touch base"
tough,Strong enough to withstand adverse conditions or rough handling,khó,He is a tough competitor.,"adjective, noun","tougher, toughest","strong, resilient","weak, fragile","tough job, tough time"
tour,A journey for pleasure in which several different places are visited,chuyến du lịch,They went on a tour of the city.,"noun, verb","tours, touring, toured","trip, journey",none,"guided tour, city tour"
tourist,A person who is traveling or visiting a place for pleasure,du khách,The tourist took pictures of the landmarks.,"noun, adjective",tourists,"traveler, visitor","resident, local","tourist attractions, tourist destination"
towards,In the direction of,đối với,She walked towards the door.,"preposition, adverb",none,in the direction of,away from,"towards the end, move towards"
towel,A piece of thick absorbent cloth or paper used for drying oneself or wiping things dry,cái khăn lau,He dried his hands with a towel.,"noun, verb",towels,"drying cloth, wipe",none,"bath towel, beach towel"
tower,"A tall, narrow building, either free-standing or forming part of a building such as a church or castle",tháp,The Eiffel Tower is in Paris.,"noun, verb",towers,"spire, steeple",none,"watch tower, radio tower"
town,"A large urban area that has a name, defined boundaries, and local government",thị trấn,The town is small but charming.,"noun, verb",towns,"city, municipality",none,"town center, hometown"
toy,"An object for a child to play with, typically a model or miniature replica of something",đồ chơi,The child played with a toy car.,"noun, verb",toys,"plaything, doll",none,"toy store, toy car"
trace,Find or discover by investigation,dấu vết,The detective traced the suspect's movements.,"verb, noun","traces, tracing, traced","follow, investigate","ignore, neglect","trace back, trace the source"
track,"A rough path or minor road, typically one beaten by use rather than constructed",theo dõi,They followed a narrow track through the woods.,"noun, verb",tracks,"path, trail",none,"dirt track, race track"
trade,The action of buying and selling goods and services,buôn bán,The trade between the two countries increased.,"noun, verb","trades, trading, traded","commerce, exchange",none,"international trade, trade agreements"
trading,"The activity of buying and selling, especially on a large scale",giao dịch,He is involved in trading stocks.,"noun, verb",none,"business, commerce",none,"stock trading, trading platform"
traditional,Existing in or as part of a tradition; long-established,truyền thống,They have traditional values.,adjective,none,"conventional, customary","modern, contemporary","traditional clothing, traditional music"
traditionally,As part of a tradition; according to tradition,theo truyền thống,"Traditionally, the festival is held in spring.",adverb,none,"typically, usually",none,"traditionally known, traditionally made"
traffic,Vehicles moving on a road or public highway,giao thông,The traffic was heavy this morning.,"noun, verb",traffics,"congestion, vehicles",none,"heavy traffic, traffic jam"
train,A series of railroad cars moved as a unit by a locomotive or by integral motors,xe lửa,She took the train to the city.,"noun, verb","trains, training, trained","locomotive, railway",none,"train station, train ride"
training,The action of teaching a person or animal a particular skill or type of behavior,đào tạo,The training for the new job starts next week.,"noun, verb",trainings,"instruction, preparation","neglect, ignorance","job training, training program"
transfer,Move from one place to another,chuyển khoản,They transferred the money to her account.,"verb, noun","transfers, transferring, transferred","move, relocate","retain, keep","transfer funds, transfer data"
transform,"Make a thorough or dramatic change in the form, appearance, or character of",biến đổi,The caterpillar transformed into a butterfly.,"verb, noun","transforms, transforming, transformed","change, convert","preserve, maintain","transform completely, transform the industry"
translate,Express the sense of (words or text) in another language,dịch,He translated the book from French to English.,"verb, noun","translates, translating, translated","interpret, convert",none,"translate into, translate from"
translation,The process of translating words or text from one language into another,dịch thuật,The translation of the novel took a year.,"noun, verb",translations,"interpretation, conversion",none,"accurate translation, translation service"
transparent,Allowing light to pass through so that objects behind can be distinctly seen,trong suốt,The glass is transparent.,adjective,transparently,"clear, see-through","opaque, cloudy","transparent glass, transparent policy"
transport,"Take or carry (people or goods) from one place to another by means of a vehicle, aircraft, or ship",chuyên chở,They transport goods by truck.,"verb, noun","transports, transporting, transported","carry, convey",none,"transport goods, transport passengers"
transportation,The action of transporting someone or something or the process of being transported,vận tải,Public transportation is efficient in the city.,"noun, verb",none,none,none,"public transportation, transportation system"
trap,"A device or enclosure designed to catch and retain animals, typically by allowing entry but not exit",cạm bẫy,The hunter set a trap for the fox.,"noun, verb","traps, trapping, trapped","snare, lure","release, free","mouse trap, fall into a trap"
travel,"Make a journey, typically of some length or abroad",du lịch,She loves to travel around the world.,"verb, noun","travels, travelling, travelled","journey, voyage","stay, remain","travel abroad, travel plans"
traveller,A person who is traveling or who often travels,du khách,The traveller shared his stories.,"noun, verb",travellers,"tourist, visitor","resident, homebody","frequent traveller, fellow traveller"
treat,Behave toward or deal with in a certain way,đối xử,He treats everyone with respect.,"verb, noun","treats, treating, treated","handle, deal with","mistreat, ignore","treat well, treat fairly"
treatment,The manner in which someone behaves toward or deals with someone or something,sự đối đãi,The treatment was effective.,"noun, verb",treatments,"care, therapy","neglect, disregard","medical treatment, special treatment"
tree,"A woody perennial plant, typically having a single stem or trunk growing to a considerable height and bearing lateral branches at some distance from the ground",cây,The tree in the garden is very old.,"noun, verb",trees,"plant, shrub",none,"tree trunk, fruit tree"
trend,A general direction in which something is developing or changing,xu hướng,There is a trend towards using renewable energy.,"noun, verb",trends,"tendency, direction",none,"current trend, fashion trend"
trial,"A formal examination of evidence before a judge, and typically before a jury, in order to decide guilt in a case of criminal or civil proceedings",sự thử nghiệm,The trial lasted for several weeks.,"noun, verb",trials,"case, hearing",none,"court trial, trial period"
triangle,A plane figure with three straight sides and three angles,tam giác,They drew a triangle on the board.,"noun, verb",triangles,three-sided figure,none,"right triangle, equilateral triangle"
trick,A cunning or skillful act or scheme intended to deceive or outwit someone,lừa,He played a trick on his friend.,"noun, verb","tricks, tricking, tricked","deception, ruse","honesty, sincerity","play a trick, trick someone"
trip,"A journey or excursion, especially for pleasure",chuyến đi,They went on a trip to the mountains.,"noun, verb","trips, tripping, tripped","journey, tour","stay, remain","business trip, day trip"
tropical,"Of, typical of, or peculiar to the tropics",nhiệt đới,The island has a tropical climate.,"adjective, noun",none,"equatorial, hot",none,"tropical island, tropical rainforest"
trouble,Difficulty or problems that cause distress or worry,rắc rối,He is having trouble with his car.,"noun, verb","troubles, troubling, troubled","difficulty, problem","ease, peace","have trouble, get into trouble"
trousers,"An outer garment covering the body from the waist to the ankles, with a separate part for each leg",quần dài,He wore a pair of trousers.,"noun, verb",none,"pants, slacks",none,"pair of trousers, wear trousers"
truck,"A large, heavy motor vehicle for transporting goods or troops",xe tải,The truck carried heavy loads.,"noun, verb",trucks,"lorry, vehicle",none,"delivery truck, truck driver"
TRUE,In accordance with fact or reality,ĐÚNG VẬY,His story is true.,"adjective, adverb",truly,"genuine, real","false, fake","true story, true love"
trust,"Firm belief in the reliability, truth, or ability of someone or something",lòng tin,She has trust in her friends.,"noun, verb","trusts, trusting, trusted","faith, confidence","distrust, doubt","gain trust, trust issues"
truth,The quality or state of being true,sự thật,He told the truth about what happened.,"noun, verb",truths,"reality, fact","falsehood, lie","tell the truth, truth be told"
try,Make an attempt or effort to do something,thử,You should try to finish your homework.,"verb, noun","tries, trying, tried","attempt, endeavor","avoid, neglect","try again, try hard"
try on,Put on an item of clothing to see if it fits or suits one,thử đi,She tried on a new dress.,phrasal verb,"tries on, trying on, tried on","fit, check",none,"try on clothes, try on shoes"
try out,Test someone or something new to see if it is suitable or effective,thử,He wants to try out for the soccer team.,phrasal verb,"tries out, trying out, tried out","test, audition",none,"try out a new recipe, try out for the team"
tube,"A long, hollow cylinder used to convey fluids or gases",ống,The water flows through the tube.,"noun, verb",tubes,"pipe, cylinder",none,"test tube, plastic tube"
Tuesday,The day of the week before Wednesday and following Monday,Thứ ba,We have a meeting on Tuesday.,noun,Tuesdays,none,none,"next Tuesday, last Tuesday"
tune,"A melody, especially one which characterizes a certain piece of music",điều chỉnh,He played a familiar tune on the piano.,"noun, verb","tunes, tuning, tuned","melody, song",none,"catchy tune, in tune"
tunnel,"An artificial underground passage, especially one built through a hill or under a building, road, or river",đường hầm,The train went through the tunnel.,"noun, verb",tunnels,"passage, underpass",none,"tunnel entrance, underground tunnel"
turn,Move in a circular direction wholly or partly around an axis or point,xoay,She turned the key in the lock.,"verb, noun","turns, turning, turned","rotate, pivot","still, remain","turn around, turn left"
turn back,Go back in the direction from which you have come,quay lại,We had to turn back due to the storm.,phrasal verb,"turns back, turning back, turned back","go back, return","continue, proceed","turn back the clock, turn back time"
turn down,"Reject or refuse a proposal, offer, or request",từ chối,She turned down the job offer.,phrasal verb,"turns down, turning down, turned down","decline, reject","accept, approve","turn down an offer, turn down the volume"
turn into,Become (something),biến thành,The caterpillar turned into a butterfly.,phrasal verb,"turns into, turning into, turned into","become, change into","remain, stay","turn into reality, turn into a habit"
turn off,"Stop the operation or flow of (something) by means of a valve, switch, or button",tắt,Don't forget to turn off the lights.,phrasal verb,"turns off, turning off, turned off","switch off, shut off","turn on, switch on","turn off the engine, turn off the TV"
turn on,Cause (a device) to operate by means of a switch or button,bật lên,"Turn on the radio, please.",phrasal verb,"turns on, turning on, turned on","activate, switch on","deactivate, switch off","turn on the light, turn on the machine"
turn out,Prove to be the case,hóa ra,It turned out that he was right.,phrasal verb,"turns out, turning out, turned out","prove, result",none,"turn out fine, turn out well"
turn over,Move (something) so that it is in a different position or state,lật lại,He turned over the page.,phrasal verb,"turns over, turning over, turned over","flip, rotate",none,"turn over a new leaf, turn over the page"
turn round,Move so as to face in the opposite direction,quay lại,She turned round to see who called her name.,phrasal verb,"turns round, turning round, turned round","reverse, turn back",none,"turn round quickly, turn round to face"
turn to,Seek help or support from someone or something,quay sang,He turned to his friend for advice.,phrasal verb,"turns to, turning to, turned to","seek, consult","ignore, avoid","turn to someone for help, turn to page"
turn up,Appear or arrive unexpectedly,xuất hiện,She turned up at the party unexpectedly.,phrasal verb,"turns up, turning up, turned up","arrive, show up","disappear, vanish","turn up the volume, turn up late"
TV,A device that receives television signals and displays them on a screen,TV,She watched the news on TV.,"noun, verb",TVs,"television, telly",none,"watch TV, TV show"
twelfth,Constituting number twelve in a sequence; 12th,thứ mười hai,She finished in twelfth place.,"adjective, noun",none,12th,none,"twelfth grade, twelfth night"
twelve,The number equivalent to the product of three and four; two more than ten; 12,mười hai,There are twelve months in a year.,"noun, adjective",twelves,dozen,none,"twelve years old, twelve items"
twentieth,Constituting number twenty in a sequence; 20th,thứ hai mươi,He is celebrating his twentieth birthday.,"adjective, noun",none,20th,none,"twentieth century, twentieth birthday"
twenty,The number equivalent to the product of four and five; ten more than ten; 20,hai mươi,She has twenty dollars.,"noun, adjective",twenties,score,none,"twenty minutes, twenty percent"
twice,Two times; on two occasions,hai lần,He called twice yesterday.,adverb,none,"doubly, twofold",once,"twice a day, twice as much"
twin,One of two children or animals born at the same birth,sinh đôi,She has a twin brother.,"noun, verb",twins,"duplicate, pair","single, individual","identical twin, twin brother"
twist,"Form into a bent, curling, or distorted shape",xoắn,He twisted the wire.,"verb, noun","twists, twisting, twisted","coil, curl","straighten, untwist","twist the truth, plot twist"
twisted,Forced out of its natural or proper shape; crumpled,vặn vẹo,The rope was twisted.,"adjective, verb",none,"bent, contorted",straight,"twisted ankle, twisted metal"
two,The number equivalent to the sum of one and one; one less than three; 2,hai,She has two cats.,"noun, adjective",twos,"pair, duo","one, single","two years, two people"
type,A category of people or things having common characteristics,kiểu,She likes that type of music.,"noun, verb","types, typing, typed","kind, sort",none,"different type, type of music"
typical,Having the distinctive qualities of a particular type of person or thing,đặc trưng,It was a typical day at the office.,"adjective, noun",typically,"representative, characteristic","atypical, unusual","typical example, typical behavior"
typically,In most cases; usually,tiêu biểu,"Typically, he arrives early.",adverb,none,"usually, generally",untypically,"typically found, typically used"
tyre,"A rubber covering, typically inflated or surrounding an inflated inner tube, placed around a wheel to form a flexible contact with the road",lốp xe,The car needs a new tyre.,"noun, verb",tyres,"tire, wheel",none,"flat tyre, spare tyre"
the unemployed,People who do not have a job,người thất nghiệp,The government provides support for the unemployed.,noun,none,"jobless, unemployed people","employed, worker","support for the unemployed, the unemployed workers"
the unexpected,Something unforeseen or unanticipated,điều bất ngờ,He always prepares for the unexpected.,noun,none,"surprise, unforeseen","expected, anticipated","prepare for the unexpected, expect the unexpected"
ugly,"Unpleasant or repulsive, especially in appearance",xấu xí,The painting was ugly.,"adjective, noun","uglier, ugliest","unattractive, unpleasant","beautiful, attractive","ugly face, ugly building"
ultimate,Being or happening at the end of a process; final,tối thượng,The ultimate goal is to achieve success.,"adjective, noun",ultimately,"final, eventual","initial, beginning","ultimate goal, ultimate decision"
ultimately,Finally; in the end,cuối cùng,"Ultimately, the decision is yours.",adverb,none,"finally, eventually",initially,"ultimately responsible, ultimately decided"
umbrella,"A device consisting of a circular canopy of cloth on a folding metal frame supported by a central rod, used as protection against rain or sometimes sun",Chiếc ô,She carried an umbrella to avoid getting wet.,"noun, verb",umbrellas,"parasol, rain shield",none,"carry an umbrella, open an umbrella"
unable,"Lacking the skill, means, or opportunity to do something",không thể,He was unable to attend the meeting.,"adjective, verb",none,"incapable, powerless","capable, able","unable to, unable to perform"
unacceptable,Not satisfactory or allowable,không thể chấp nhận được,The behavior was unacceptable.,"adjective, noun",unacceptably,"unsatisfactory, intolerable","acceptable, satisfactory","completely unacceptable, socially unacceptable"
uncertain,Not able to be relied on; not known or definite,không chắc chắn,The future of the project is uncertain.,"adjective, noun",uncertainty,"doubtful, unsure","certain, definite","uncertain about, uncertain future"
uncle,The brother of one's father or mother or the husband of one's aunt,chú ,He visited his uncle during the holidays.,"noun, verb",uncles,none,none,"uncle and aunt, favorite uncle"
uncomfortable,Causing or feeling slight pain or physical discomfort,khó chịu,The chair was uncomfortable.,"adjective, noun",uncomfortably,"uneasy, awkward","comfortable, pleasant","feel uncomfortable, look uncomfortable"
unconscious,Not awake and aware of and responding to one's environment,bất tỉnh,He was knocked unconscious.,"adjective, noun",unconsciousness,"insensible, comatose","conscious, aware","render unconscious, become unconscious"
uncontrolled,Not controlled,không kiểm soát được,The situation became uncontrolled.,"adjective, noun",none,"unregulated, uncontrolled","controlled, regulated","uncontrolled behavior, uncontrolled growth"
under,Extending or directly below,dưới,The cat is hiding under the table.,"preposition, adjective",unders,"beneath, below","above, over","under the table, under the bed"
underground,Situated beneath the surface of the ground,bí mật,The subway runs underground.,"adjective, adverb",none,"subterranean, buried","surface, aboveground","underground station, underground river"
underneath,Situated directly below (something else),bên dưới,The key is underneath the mat.,"preposition, adverb",none,"below, beneath",above,"hidden underneath, underneath the surface"
understand,"Perceive the intended meaning of (words, a language, or a speaker)",hiểu ,I can understand why you're upset.,"verb, noun","understands, understanding, understood","comprehend, grasp","misunderstand, confuse","understand the situation, understand completely"
understanding,The ability to understand something; comprehension,sự hiểu biết,She has a deep understanding of the subject.,"noun, adjective",understandings,"comprehension, awareness",misunderstanding,"mutual understanding, deep understanding"
underwater,"Situated, occurring, or done beneath the surface of the water",dưới nước,The divers explored the underwater cave.,"adjective, noun",none,"submerged, sunken","surface, above water","underwater camera, underwater world"
underwear,"Clothes worn under other clothes, typically next to the skin",đồ lót,He packed his underwear in the suitcase.,"noun, verb",none,"undergarments, lingerie",outerwear,"pair of underwear, men's underwear"
undo,"Unfasten, untie, or loosen (something)",hoàn tác,She tried to undo the knot.,"verb, noun","undoes, undoing, undid","unfasten, unhook","fasten, tie","undo a mistake, undo the damage"
unemployed,Without a paid job but available to work,thất nghiệp,He has been unemployed for six months.,"adjective, noun",unemployment,"jobless, idle","employed, working","long-term unemployed, chronically unemployed"
unemployment,The state of being unemployed,nạn thất nghiệp,The government is working to reduce unemployment.,"noun, verb",none,"joblessness, redundancy","employment, work","high unemployment, youth unemployment"
unexpected,Not expected or regarded as likely to happen,không ngờ tới,The news was completely unexpected.,"adjective, noun",unexpectedness,"surprising, unforeseen","expected, anticipated","unexpected visit, unexpected result"
unexpectedly,In a way that was not expected,bất ngờ,He unexpectedly won the race.,adverb,none,"surprisingly, suddenly","expectedly, predictably","completely unexpectedly, quite unexpectedly"
unfair,Not based on or behaving according to the principles of equality and justice,không công bằng,The decision was unfair.,"adjective, noun",unfairness,"inequitable, unjust","fair, just","unfair treatment, unfair advantage"
unfairly,In a manner that is not based on or behaving according to the principles of equality and justice,không công bằng,She was unfairly treated by her peers.,adverb,unfairness,"unjustly, inequitably","fairly, justly","unfairly treated, unfairly blamed"
unfortunate,Having or marked by bad fortune; unlucky,không may,It was an unfortunate accident.,adjective,unfortunately,"unlucky, ill-fated","fortunate, lucky","unfortunate event, unfortunate outcome"
